parameter,value,domain,congruency,par_class
mu_alphaV_con,0.12546,V,con,learning
mu_alphaV_inc,0.0137875,V,inc,learning
mu_alphaP_con,0.0586137,P,con,learning
mu_alphaP_inc,0.0101175,P,inc,learning
mu_alphaV_con,0.132144,V,con,learning
mu_alphaV_inc,0.00998999,V,inc,learning
mu_alphaP_con,0.0531803,P,con,learning
mu_alphaP_inc,0.0161742,P,inc,learning
mu_alphaV_con,0.114914,V,con,learning
mu_alphaV_inc,0.0136555,V,inc,learning
mu_alphaP_con,0.0526707,P,con,learning
mu_alphaP_inc,0.0144171,P,inc,learning
mu_alphaV_con,0.111018,V,con,learning
mu_alphaV_inc,0.0160875,V,inc,learning
mu_alphaP_con,0.052339,P,con,learning
mu_alphaP_inc,0.0146211,P,inc,learning
mu_alphaV_con,0.121842,V,con,learning
mu_alphaV_inc,0.0156399,V,inc,learning
mu_alphaP_con,0.055563,P,con,learning
mu_alphaP_inc,0.00985407,P,inc,learning
mu_alphaV_con,0.12968,V,con,learning
mu_alphaV_inc,0.0109183,V,inc,learning
mu_alphaP_con,0.0552735,P,con,learning
mu_alphaP_inc,0.0132235,P,inc,learning
mu_alphaV_con,0.104536,V,con,learning
mu_alphaV_inc,0.0104381,V,inc,learning
mu_alphaP_con,0.0506002,P,con,learning
mu_alphaP_inc,0.0100043,P,inc,learning
mu_alphaV_con,0.10186,V,con,learning
mu_alphaV_inc,0.0149287,V,inc,learning
mu_alphaP_con,0.0527838,P,con,learning
mu_alphaP_inc,0.0102011,P,inc,learning
mu_alphaV_con,0.0991401,V,con,learning
mu_alphaV_inc,0.0149272,V,inc,learning
mu_alphaP_con,0.0510093,P,con,learning
mu_alphaP_inc,0.0104812,P,inc,learning
mu_alphaV_con,0.104043,V,con,learning
mu_alphaV_inc,0.013515,V,inc,learning
mu_alphaP_con,0.0565043,P,con,learning
mu_alphaP_inc,0.00958382,P,inc,learning
mu_alphaV_con,0.111835,V,con,learning
mu_alphaV_inc,0.012154,V,inc,learning
mu_alphaP_con,0.0551223,P,con,learning
mu_alphaP_inc,0.0128715,P,inc,learning
mu_alphaV_con,0.10742,V,con,learning
mu_alphaV_inc,0.013019,V,inc,learning
mu_alphaP_con,0.0477445,P,con,learning
mu_alphaP_inc,0.00983721,P,inc,learning
mu_alphaV_con,0.121227,V,con,learning
mu_alphaV_inc,0.0163328,V,inc,learning
mu_alphaP_con,0.0546132,P,con,learning
mu_alphaP_inc,0.014414,P,inc,learning
mu_alphaV_con,0.111021,V,con,learning
mu_alphaV_inc,0.0102841,V,inc,learning
mu_alphaP_con,0.0426742,P,con,learning
mu_alphaP_inc,0.0106532,P,inc,learning
mu_alphaV_con,0.109163,V,con,learning
mu_alphaV_inc,0.0105815,V,inc,learning
mu_alphaP_con,0.0540821,P,con,learning
mu_alphaP_inc,0.0107518,P,inc,learning
