parameter,value,domain,congruency,par_class
mu_alphaV_con,0.0866016,V,con,learning
mu_alphaV_inc,0.0269756,V,inc,learning
mu_alphaP_con,0.0612238,P,con,learning
mu_alphaP_inc,0.0198746,P,inc,learning
mu_alphaV_con,0.077204,V,con,learning
mu_alphaV_inc,0.0278216,V,inc,learning
mu_alphaP_con,0.0662618,P,con,learning
mu_alphaP_inc,0.0244301,P,inc,learning
mu_alphaV_con,0.0692866,V,con,learning
mu_alphaV_inc,0.0301733,V,inc,learning
mu_alphaP_con,0.0621577,P,con,learning
mu_alphaP_inc,0.0165421,P,inc,learning
mu_alphaV_con,0.0853032,V,con,learning
mu_alphaV_inc,0.0274121,V,inc,learning
mu_alphaP_con,0.0701637,P,con,learning
mu_alphaP_inc,0.0181831,P,inc,learning
mu_alphaV_con,0.0729442,V,con,learning
mu_alphaV_inc,0.040443,V,inc,learning
mu_alphaP_con,0.0556432,P,con,learning
mu_alphaP_inc,0.0202643,P,inc,learning
mu_alphaV_con,0.0805188,V,con,learning
mu_alphaV_inc,0.0248431,V,inc,learning
mu_alphaP_con,0.0627412,P,con,learning
mu_alphaP_inc,0.0241677,P,inc,learning
mu_alphaV_con,0.08134,V,con,learning
mu_alphaV_inc,0.0249325,V,inc,learning
mu_alphaP_con,0.0590474,P,con,learning
mu_alphaP_inc,0.0235489,P,inc,learning
mu_alphaV_con,0.085107,V,con,learning
mu_alphaV_inc,0.0325489,V,inc,learning
mu_alphaP_con,0.0566198,P,con,learning
mu_alphaP_inc,0.01808,P,inc,learning
mu_alphaV_con,0.0771055,V,con,learning
mu_alphaV_inc,0.0243166,V,inc,learning
mu_alphaP_con,0.060005,P,con,learning
mu_alphaP_inc,0.0180078,P,inc,learning
mu_alphaV_con,0.078202,V,con,learning
mu_alphaV_inc,0.0381889,V,inc,learning
mu_alphaP_con,0.0588436,P,con,learning
mu_alphaP_inc,0.0194193,P,inc,learning
mu_alphaV_con,0.076292,V,con,learning
mu_alphaV_inc,0.0282709,V,inc,learning
mu_alphaP_con,0.0641883,P,con,learning
mu_alphaP_inc,0.0198844,P,inc,learning
mu_alphaV_con,0.0803227,V,con,learning
mu_alphaV_inc,0.0378757,V,inc,learning
mu_alphaP_con,0.0616584,P,con,learning
mu_alphaP_inc,0.0214792,P,inc,learning
mu_alphaV_con,0.0686909,V,con,learning
mu_alphaV_inc,0.0261821,V,inc,learning
mu_alphaP_con,0.0637778,P,con,learning
mu_alphaP_inc,0.0194552,P,inc,learning
mu_alphaV_con,0.0743719,V,con,learning
mu_alphaV_inc,0.0317832,V,inc,learning
mu_alphaP_con,0.0566052,P,con,learning
mu_alphaP_inc,0.0223998,P,inc,learning
mu_alphaV_con,0.0714084,V,con,learning
mu_alphaV_inc,0.0241106,V,inc,learning
mu_alphaP_con,0.0663286,P,con,learning
mu_alphaP_inc,0.0194699,P,inc,learning
mu_alphaV_con,0.0745913,V,con,learning
mu_alphaV_inc,0.032209,V,inc,learning
mu_alphaP_con,0.0488098,P,con,learning
mu_alphaP_inc,0.0181953,P,inc,learning
mu_alphaV_con,0.0770465,V,con,learning
mu_alphaV_inc,0.0223139,V,inc,learning
mu_alphaP_con,0.075223,P,con,learning
mu_alphaP_inc,0.0225324,P,inc,learning
mu_alphaV_con,0.0714617,V,con,learning
mu_alphaV_inc,0.0366585,V,inc,learning
mu_alphaP_con,0.0621778,P,con,learning
mu_alphaP_inc,0.0209715,P,inc,learning
mu_alphaV_con,0.0688337,V,con,learning
mu_alphaV_inc,0.0218952,V,inc,learning
mu_alphaP_con,0.0691812,P,con,learning
mu_alphaP_inc,0.0186388,P,inc,learning
mu_alphaV_con,0.0849176,V,con,learning
mu_alphaV_inc,0.0268965,V,inc,learning
mu_alphaP_con,0.0600866,P,con,learning
mu_alphaP_inc,0.0179753,P,inc,learning
mu_alphaV_con,0.0741545,V,con,learning
mu_alphaV_inc,0.0203288,V,inc,learning
mu_alphaP_con,0.0562489,P,con,learning
mu_alphaP_inc,0.019953,P,inc,learning
mu_alphaV_con,0.0838297,V,con,learning
mu_alphaV_inc,0.0359342,V,inc,learning
mu_alphaP_con,0.0653203,P,con,learning
mu_alphaP_inc,0.0283928,P,inc,learning
mu_alphaV_con,0.0666721,V,con,learning
mu_alphaV_inc,0.0227787,V,inc,learning
mu_alphaP_con,0.0638374,P,con,learning
mu_alphaP_inc,0.0171385,P,inc,learning
mu_alphaV_con,0.0700582,V,con,learning
mu_alphaV_inc,0.0286081,V,inc,learning
mu_alphaP_con,0.066888,P,con,learning
mu_alphaP_inc,0.0187483,P,inc,learning
mu_alphaV_con,0.0829675,V,con,learning
mu_alphaV_inc,0.0269981,V,inc,learning
mu_alphaP_con,0.0567955,P,con,learning
mu_alphaP_inc,0.0179946,P,inc,learning
mu_alphaV_con,0.083259,V,con,learning
mu_alphaV_inc,0.0244132,V,inc,learning
mu_alphaP_con,0.063119,P,con,learning
mu_alphaP_inc,0.018408,P,inc,learning
mu_alphaV_con,0.0712878,V,con,learning
