parameter,value,domain,congruency,par_class
mu_alphaV_con,0.0891463,V,con,learning
mu_alphaV_inc,0.0130197,V,inc,learning
mu_alphaP_con,0.0396335,P,con,learning
mu_alphaP_inc,0.0118428,P,inc,learning
mu_alphaV_con,0.0992838,V,con,learning
mu_alphaV_inc,0.0149697,V,inc,learning
mu_alphaP_con,0.036934,P,con,learning
mu_alphaP_inc,0.0172006,P,inc,learning
mu_alphaV_con,0.100133,V,con,learning
mu_alphaV_inc,0.0165217,V,inc,learning
mu_alphaP_con,0.0468522,P,con,learning
mu_alphaP_inc,0.0174037,P,inc,learning
mu_alphaV_con,0.0991411,V,con,learning
mu_alphaV_inc,0.0110405,V,inc,learning
mu_alphaP_con,0.046917,P,con,learning
mu_alphaP_inc,0.0117224,P,inc,learning
mu_alphaV_con,0.0899436,V,con,learning
mu_alphaV_inc,0.0152242,V,inc,learning
mu_alphaP_con,0.037724100000000003,P,con,learning
mu_alphaP_inc,0.0174268,P,inc,learning
mu_alphaV_con,0.102715,V,con,learning
mu_alphaV_inc,0.015512,V,inc,learning
mu_alphaP_con,0.0500789,P,con,learning
mu_alphaP_inc,0.0155934,P,inc,learning
mu_alphaV_con,0.0967396,V,con,learning
mu_alphaV_inc,0.0124549,V,inc,learning
mu_alphaP_con,0.0408029,P,con,learning
mu_alphaP_inc,0.0130747,P,inc,learning
mu_alphaV_con,0.0968837,V,con,learning
mu_alphaV_inc,0.0146614,V,inc,learning
mu_alphaP_con,0.0521184,P,con,learning
mu_alphaP_inc,0.0156237,P,inc,learning
mu_alphaV_con,0.106155,V,con,learning
mu_alphaV_inc,0.0154583,V,inc,learning
mu_alphaP_con,0.0459375,P,con,learning
mu_alphaP_inc,0.0130563,P,inc,learning
mu_alphaV_con,0.10107,V,con,learning
mu_alphaV_inc,0.0126204,V,inc,learning
mu_alphaP_con,0.0445974,P,con,learning
mu_alphaP_inc,0.0104121,P,inc,learning
mu_alphaV_con,0.0827685,V,con,learning
mu_alphaV_inc,0.012949,V,inc,learning
mu_alphaP_con,0.0444359,P,con,learning
mu_alphaP_inc,0.0174999,P,inc,learning
mu_alphaV_con,0.102148,V,con,learning
mu_alphaV_inc,0.0175489,V,inc,learning
mu_alphaP_con,0.0405364,P,con,learning
mu_alphaP_inc,0.0112317,P,inc,learning
mu_alphaV_con,0.112109,V,con,learning
